"comptoir_id";"software";"license";"wikidata_id";"sill_id";"cnll_id";"framalibre_slug";"software_website";"software_repository";"comptoir_url";"wikidata_url";"sill_url";"cnll_url";"framalibre_url"
64;"FileZilla";"GNU GPLv2";"Q300662";43;"";"filezilla";"https://filezilla-project.org/";"https://svn.filezilla-project.org/svn/FileZilla3/trunk";"https://comptoir-du-libre.org/fr/softwares/64";"https://www.wikidata.org/wiki/Q300662";"https://code.gouv.fr/sill/fr/software?id=43";"";"https://framalibre.org/content/filezilla"
82;"Firefox ESR";"Creative Commons Attribution-ShareAlike 3.0 licence (CC BY-SA)";"Q698";89;"";"firefox";"https://www.mozilla.org/en-US/firefox/organizations/all/";"https://github.com/mozilla/gecko-dev.git";"https://comptoir-du-libre.org/fr/softwares/82";"https://www.wikidata.org/wiki/Q698";"https://code.gouv.fr/sill/fr/software?id=89";"";"https://framalibre.org/content/firefox"
184;"Fitnesse";"MIT";"";"";"";"";"http://fitnesse.org/";"https://github.com/unclebob/fitnesse";"https://comptoir-du-libre.org/fr/softwares/184";"";"";"";""
530;"Flask";"BSD";"Q289281";272;113;"";"https://flask.palletsprojects.com";"https://github.com/pallets/flask";"https://comptoir-du-libre.org/fr/softwares/530";"https://www.wikidata.org/wiki/Q289281";"https://code.gouv.fr/sill/fr/software?id=272";"https://annuaire.cnll.fr/solutions/113";""
766;"Fleet";"MIT";"";"";"";"";"https://fleetdm.com";"https://github.com/fleetdm/fleet";"https://comptoir-du-libre.org/fr/softwares/766";"";"";"";""
759;"Flexisip";"GNU GPLv3";"";"";"";"";"https://www.linphone.org/flexisip-serveur-sip/";"https://github.com/BelledonneCommunications/flexisip";"https://comptoir-du-libre.org/fr/softwares/759";"";"";"";""
741;"flop! - Logiciel libre de gestion coopérative et de génération automatique d'emplois du temps";"GNU aGPL v3";"";"";"";"";"https://flop.best";"https://framagit.org/flopedt/flopedt";"https://comptoir-du-libre.org/fr/softwares/741";"";"";"";""
138;"FOG Project";"GNU GPLv3";"Q111132714";241;"";"";"https://fogproject.org/";"https://github.com/FOGProject/";"https://comptoir-du-libre.org/fr/softwares/138";"https://www.wikidata.org/wiki/Q111132714";"https://code.gouv.fr/sill/fr/software?id=241";"";""
460;"Fpart";"BSD";"Q109606717";229;"";"";"https://www.fpart.org/";"https://github.com/martymac/fpart";"https://comptoir-du-libre.org/fr/softwares/460";"https://www.wikidata.org/wiki/Q109606717";"https://code.gouv.fr/sill/fr/software?id=229";"";""
856;"Fractale";"GNU aGPL v3";"";"";"";"";"https://fractale.co";"https://github.com/fractal6";"https://comptoir-du-libre.org/fr/softwares/856";"";"";"";""
284;"Framadate";"CeCILL-B";"";45;"";"";"https://framadate.org/";"https://git.framasoft.org/framasoft/framadate";"https://comptoir-du-libre.org/fr/softwares/284";"";"https://code.gouv.fr/sill/fr/software?id=45";"";""
320;"FreeCAD";"GNU LGPL";"Q251322";337;"";"freecad";"https://www.freecadweb.org/?lang=fr_FR";"https://github.com/FreeCAD/FreeCAD/";"https://comptoir-du-libre.org/fr/softwares/320";"https://www.wikidata.org/wiki/Q251322";"https://code.gouv.fr/sill/fr/software?id=337";"";"https://framalibre.org/content/freecad"
